Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.7734626926726094,0.4568993639892915,1.0
10.0,2.0454509128921625,1.1380050348347832,0.9711815561959655
15.0,3.0876026491099484,1.4310345209714666,0.9285714285714286
20.0,5.420922073835264,1.385989364765796,1.0
25.0,8.551896095648846,1.3506541941971528,1.0
30.0,13.462780453607618,1.7129017674745954,1.0
31.99,15.186440048304739,1.5759892903397676,1.0
32.025,20.860398891874638,6.653951474597578,0.9971014492753624
35.0,30.42833121826815,2.0363232734592795,0.9798270893371758
40.0,34.272820385436155,0.9104205165791002,1.0
45.0,38.412072241067705,0.9119024120872873,1.0
50.0,42.72820621900215,0.8418146860737434,1.0
55.0,47.657879384456194,0.9189704984099867,1.0
60.0,52.51531669919671,1.0262939487496587,1.0
65.0,57.51586262023745,0.9680506344432812,1.0
70.0,63.20721068914281,0.8483193735991993,1.0
75.0,69.37255760636482,0.8244774422611493,1.0
80.0,73.95933926860343,0.8749151222369096,1.0
85.0,78.68496862917178,0.9624523359178623,1.0
90.0,83.58966995758848,1.0025396251456766,1.0
95.0,87.8521370289414,0.5588691631182134,1.0
100.0,92.72759958739276,0.6051304497172547,1.0
105.0,98.55576772103252,1.2853523383299812,1.0
110.0,102.66826620771631,0.6555122439609722,1.0
115.0,107.65748801359257,0.7522016802303111,1.0
120.0,112.7751882369186,0.534216398412989,1.0
