Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,0.8670897593675662,0.4723186055242842,0.9596541786743515
10.0,2.2279781137052437,1.2096630440787446,0.9640718562874252
15.0,3.279655912796361,1.8029781944640408,0.9769452449567724
20.0,5.110208343676899,1.6803259080375175,0.9941002949852508
25.0,7.922643777442154,1.4755534311291656,1.0
27.99,10.865639085420874,1.6872874451372923,1.0
28.025,28.018192898270513,0.007130738243929063,1.0
30.0,24.114175695270664,3.433559488378485,0.9317073170731708
35.0,29.23481291716871,1.3072587011862842,0.996415770609319
40.0,33.23192611585662,1.0429649970028436,0.9971181556195965
45.0,37.591543261031944,1.15444973041451,1.0
50.0,42.22380849186309,1.1517136921998525,1.0
55.0,46.91741034121188,1.1106376458111378,1.0
60.0,51.75579979001813,1.126582743238986,1.0
65.0,56.81613938314775,1.0798437860465606,1.0
70.0,62.58745503983546,0.9815000306612452,1.0
75.0,68.64700520165715,0.9115197623028841,1.0
80.0,73.4515988089102,1.019464115846794,1.0
85.0,78.04629518890317,1.0094178976141788,1.0
90.0,83.01142601914103,1.1451520141588645,1.0
95.0,87.8526520491992,1.125469529553208,1.0
100.0,92.97312739663242,1.3313035537122226,1.0
105.0,98.0076031638668,1.4451426222949915,1.0
110.0,102.97881661798966,1.3930138440398403,1.0
115.0,107.26665621385062,0.6202566077961902,1.0
120.0,113.57101872989134,1.8638191224458684,1.0
