Energy before extraction (eV),Mean energy after extraction (eV),Std. dev. of energies after extraction (eV),Extraction probability
5.0,1.043521149019253,0.4736654807258571,0.8731988472622478
10.0,2.6025701159697823,1.2610220219683266,0.930835734870317
15.0,3.9003867935456036,2.0256661000735225,0.9567723342939481
20.0,5.025573086081996,2.418513575265967,0.97953216374269
25.0,7.497661130814677,1.6929563510491008,0.9615384615384616
27.99,9.738254375753225,2.061077687100543,0.9941690962099126
28.025,9.474201869971306,2.121822229805388,0.4349775784753363
30.0,22.930538382092678,4.952755207656471,0.9274924471299094
35.0,28.911004543777477,2.2849693937191335,0.9804560260586319
40.0,32.644283233123375,1.5583434057177472,1.0
45.0,36.67894870950141,1.7901437633733825,1.0
50.0,41.19326486357913,1.4443499431405393,1.0
55.0,45.99490292981466,1.5893499411758678,1.0
60.0,50.83471213419376,1.4965240237151187,1.0
65.0,55.94760107710411,1.5458882655077784,1.0
70.0,61.87483175461297,1.329417181125553,1.0
75.0,68.0252003427343,1.400328563245064,1.0
80.0,72.5420295800698,1.3287552864814551,1.0
85.0,77.15947634857619,1.3402087651572872,1.0
90.0,82.15013739526306,1.364596222731933,1.0
95.0,87.06979958805194,1.4030472594035481,1.0
100.0,91.94189605132627,1.4717553669123817,1.0
105.0,97.06591990321607,1.5771599545798014,1.0
110.0,101.86844824924898,1.4964903408548134,1.0
115.0,106.35806635030758,1.2637080876527909,1.0
120.0,111.36835516548507,1.3047213553713035,1.0
